,playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at,track_popularity,track_preview_url,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
1,Hot Country,37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda/tracks?offset=0&limit=100,53,MTUzNzM0OTM0MywwMDAwMDExYzAwMDAwMTY1ZWU5OTkxYzUwMDAwMDE2NWQzYzc5ZWE5,https://i.scdn.co/image/b3e050cc45a314d88ad49a5eeb1b9600db8388b5,You Make It Easy,2ZxTjs4EdJl4Y9YByIiNoo,Jason Aldean,You Make It Easy,https://i.scdn.co/image/a87e820459713036ba712873414c23fc99a9b6af,2018-09-16 13:15:57,77,https://p.scdn.co/mp3-preview/d67c5f6071e4ee833392128032272a53e7651f4a?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/2ZxTjs4EdJl4Y9YByIiNoo,0.375,0.574,G,-5.305,major,0.0315,0.143,0,0.11,0.406,132.025,196800,3,G major
2,Hot Country,37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda/tracks?offset=0&limit=100,53,MTUzNzM0OTM0MywwMDAwMDExYzAwMDAwMTY1ZWU5OTkxYzUwMDAwMDE2NWQzYzc5ZWE5,https://i.scdn.co/image/b3e050cc45a314d88ad49a5eeb1b9600db8388b5,Slower,7M1PQZeyqslVtY5ZiYBGLo,Filmore,Slower,https://i.scdn.co/image/a06f7512c7aefcada572d583ce02309e3a58ed5d,2018-09-16 13:15:57,70,https://p.scdn.co/mp3-preview/32d627e7750e6b8a4db7815eba29234fccfbb6a1?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7M1PQZeyqslVtY5ZiYBGLo,0.687,0.75,B,-4.537,major,0.0965,0.107,3.05E-06,0.161,0.911,98.987,172534,4,B major
3,Hot Country,37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda/tracks?offset=0&limit=100,53,MTUzNzM0OTM0MywwMDAwMDExYzAwMDAwMTY1ZWU5OTkxYzUwMDAwMDE2NWQzYzc5ZWE5,https://i.scdn.co/image/b3e050cc45a314d88ad49a5eeb1b9600db8388b5,One Summer,0l7Q1R6vZAPocVR5BQ80nj,Austin Burke,One Summer,https://i.scdn.co/image/e219381e1dab846b66cdfd1b37a86622e54c4c2c,2018-09-16 13:15:57,69,https://p.scdn.co/mp3-preview/d4d59b3e0f76b394a26ed3704d52c5a4547969a1?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0l7Q1R6vZAPocVR5BQ80nj,0.624,0.822,G,-4.434,major,0.034,0.0741,0,0.332,0.37,120.059,230213,4,G major
4,Hot Country,37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda/tracks?offset=0&limit=100,53,MTUzNzM0OTM0MywwMDAwMDExYzAwMDAwMTY1ZWU5OTkxYzUwMDAwMDE2NWQzYzc5ZWE5,https://i.scdn.co/image/b3e050cc45a314d88ad49a5eeb1b9600db8388b5,Lose It,6GBndDk0OEpDkmKoSBJyyK,Kane Brown,Lose It,https://i.scdn.co/image/d5282610f02bf94e30f84a7620339aebc4747439,2018-09-16 13:15:57,76,https://p.scdn.co/mp3-preview/a743e49ed5aa666f0dc049473917429fe9a13c6c?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/6GBndDk0OEpDkmKoSBJyyK,0.549,0.869,E,-4.905,minor,0.0289,0.00261,1.77E-06,0.29,0.433,91.988,178733,4,E minor
5,Hot Country,37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda/tracks?offset=0&limit=100,53,MTUzNzM0OTM0MywwMDAwMDExYzAwMDAwMTY1ZWU5OTkxYzUwMDAwMDE2NWQzYzc5ZWE5,https://i.scdn.co/image/b3e050cc45a314d88ad49a5eeb1b9600db8388b5,Dear God,4uKnBwasJbpaXoPGrwqlc4,Hunter Hayes,Dear God,https://i.scdn.co/image/5639168bddf43a86ee60e0164ae7a037e060f60f,2018-09-16 13:15:57,74,https://p.scdn.co/mp3-preview/90d87d744785116259966f54c4b460fdf5a8727b?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/4uKnBwasJbpaXoPGrwqlc4,0.63,0.692,B,-6.709,major,0.0606,0.0673,0,0.2,0.593,119.972,175173,4,B major
6,Hot Country,37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda/tracks?offset=0&limit=100,53,MTUzNzM0OTM0MywwMDAwMDExYzAwMDAwMTY1ZWU5OTkxYzUwMDAwMDE2NWQzYzc5ZWE5,https://i.scdn.co/image/b3e050cc45a314d88ad49a5eeb1b9600db8388b5,Desperate Man,2VX37A1p7tkvrH2UJwAU0T,Eric Church,Desperate Man,https://i.scdn.co/image/c7def47043ade3ac2384cdf7b2481f23533f83b9,2018-09-16 13:15:57,72,NA,https://open.spotify.com/track/2VX37A1p7tkvrH2UJwAU0T,0.711,0.796,A#,-5.87,major,0.0341,0.0716,0.0045,0.262,0.901,109.991,208733,4,A# major
7,Hot Country,37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda/tracks?offset=0&limit=100,53,MTUzNzM0OTM0MywwMDAwMDExYzAwMDAwMTY1ZWU5OTkxYzUwMDAwMDE2NWQzYzc5ZWE5,https://i.scdn.co/image/b3e050cc45a314d88ad49a5eeb1b9600db8388b5,Born to Love You,77a5Eu7lC3tG0Sukt2O91U,LANCO,Hallelujah Nights,https://i.scdn.co/image/e61d3b1d63f1b3e70c06bdbe2d05063d2cfb1d6e,2018-09-16 13:15:57,75,https://p.scdn.co/mp3-preview/ec84810eae9729e21b9e831ba314cbb061d6ce36?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/77a5Eu7lC3tG0Sukt2O91U,0.659,0.902,G,-6.192,major,0.0296,0.13,9.45E-05,0.0574,0.809,124.985,230013,4,G major
8,Hot Country,37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda/tracks?offset=0&limit=100,53,MTUzNzM0OTM0MywwMDAwMDExYzAwMDAwMTY1ZWU5OTkxYzUwMDAwMDE2NWQzYzc5ZWE5,https://i.scdn.co/image/b3e050cc45a314d88ad49a5eeb1b9600db8388b5,Down To The Honkytonk,2QGa7i7o0UwmgUsSkM8Tt4,Jake Owen,Jake Owen,https://i.scdn.co/image/530b4534072185e882e95edb5c63c05f621cd45b,2018-09-16 13:15:57,67,NA,https://open.spotify.com/track/2QGa7i7o0UwmgUsSkM8Tt4,0.623,0.828,D#,-4.272,major,0.0565,0.162,0,0.0976,0.953,82.059,183140,4,D# major
9,Hot Country,37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda/tracks?offset=0&limit=100,53,MTUzNzM0OTM0MywwMDAwMDExYzAwMDAwMTY1ZWU5OTkxYzUwMDAwMDE2NWQzYzc5ZWE5,https://i.scdn.co/image/b3e050cc45a314d88ad49a5eeb1b9600db8388b5,Here Tonight,7ELW8QMNYkoxWskwXMD3WW,Brett Young,Here Tonight,https://i.scdn.co/image/cd69a094878bf520a10d501de12b130f251d8903,2018-09-16 13:15:57,60,NA,https://open.spotify.com/track/7ELW8QMNYkoxWskwXMD3WW,0.517,0.776,B,-5.271,major,0.0362,0.0144,0,0.113,0.448,96.002,216533,4,B major
10,Hot Country,37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda/tracks?offset=0&limit=100,53,MTUzNzM0OTM0MywwMDAwMDExYzAwMDAwMTY1ZWU5OTkxYzUwMDAwMDE2NWQzYzc5ZWE5,https://i.scdn.co/image/b3e050cc45a314d88ad49a5eeb1b9600db8388b5,Simple,4P92FrvmYQSAfOpp4cpFEi,Florida Georgia Line,Florida Georgia Line,https://i.scdn.co/image/5412cfdf36bf7b1c1dc513eb758d1cfe0a7b28ff,2018-09-16 13:15:57,71,NA,https://open.spotify.com/track/4P92FrvmYQSAfOpp4cpFEi,0.375,0.889,D#,-3.704,major,0.0991,0.0848,0,0.136,0.881,199.669,185200,4,D# major
