,playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at,track_popularity,track_preview_url,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
1,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,Kanye West,I Love It,https://i.scdn.co/image/67a6a4e49285e1983e771811fcb463b4422d0e5d,2018-09-07 14:11:52,93,NA,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,0.901,0.522,D,-8.304,major,0.33,0.0114,0,0.259,0.329,104.053,127947,4,D major
2,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,ASTROWORLD,https://i.scdn.co/image/cdca7dc20c778ada42fb18506ea1f26857f01d17,2018-08-15 15:51:21,96,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,G#,-3.714,major,0.222,0.00513,0,0.124,0.446,155.008,312820,4,G# major
3,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,New Patek,0Fpen1PTuEnCmOJtUU9Iud,Lil Uzi Vert,New Patek,https://i.scdn.co/image/511dc370db10d4ded4bde9742a98b80051fa33c1,2018-09-18 04:46:30,0,https://p.scdn.co/mp3-preview/85cb30a11e344608ef9cd87329433f29ac85a6e6?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,Eminem,Kamikaze,https://i.scdn.co/image/c932b53e6f13a45f32bc357303c56eb52ecc28fb,2018-08-31 04:13:38,95,NA,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,0.876,0.786,A#,-4.884,minor,0.306,0.0627,0,0.127,0.575,153.068,244679,4,A# minor
5,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Drip Too Hard,1BxkZE73h9BN3qwuA15TA3,Lil Baby,Drip Too Hard,https://i.scdn.co/image/abd55a98fc8e9c45bacac10a632c98b48744dc68,2018-09-12 04:00:31,78,NA,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3,0.9,0.653,C#,-6.962,minor,0.289,0.0945,0,0.528,0.399,112.503,145603,4,C# minor
6,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Mo Bamba,3QybPutx0Tjk472bBKjNWn,Sheck Wes,Mo Bamba,https://i.scdn.co/image/4f3d47dc747013143055f6bb8cb060e2edaaff42,2018-08-15 15:51:21,87,NA,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn,0.738,0.629,F#,-4.882,minor,0.0495,0.268,0.00114,0.163,0.319,146.067,180898,4,F# minor
7,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Leave Me Alone,5vDvBD3ReINP8dXUplj477,Flipp Dinero,Leave Me Alone,https://i.scdn.co/image/cdd4fa4da76fe8b0fa1cb08719f2c6dc22a2c15e,2018-08-15 15:51:21,78,NA,https://open.spotify.com/track/5vDvBD3ReINP8dXUplj477,0.792,0.743,G,-2.806,major,0.0851,0.107,0,0.183,0.742,150.024,195637,4,G major
8,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Yes Indeed,1wsf1YFQSYND45y0GzJmf7,Lil Baby,Yes Indeed,https://i.scdn.co/image/e00bac942f8eaa60ce3cc37b3f9b71c5ff7c0fef,2018-08-15 15:51:21,51,NA,https://open.spotify.com/track/1wsf1YFQSYND45y0GzJmf7,0.964,0.346,F,-9.309,minor,0.53,0.035,0,0.108,0.562,119.958,142273,4,F minor
9,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Nonstop,2Vx8E3K5icPZR7OCklWBXX,Drake,Scorpion,https://i.scdn.co/image/542d705154be4049fc927050d006987e63739bbd,2018-08-15 15:51:21,75,NA,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX,0.909,0.405,F#,-8.133,minor,0.14,0.0306,0.00698,0.105,0.455,154.984,238613,4,F# minor
10,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,Gucci Mane,Wake Up in the Sky,https://i.scdn.co/image/cec9da90c10cd8c509ecf9d6761594b311272e08,2018-09-14 04:01:00,81,https://p.scdn.co/mp3-preview/43ece6da1fe67dc3a5f44ca967fec62e918ce69d?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq,0.8,0.578,E,-5.144,minor,0.0485,0.00381,0,0.359,0.367,143.01,204665,4,E minor
11,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Hopeless Romantic (feat. Swae Lee),4uX8Wh4wxpLne11BhoHs5x,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),https://i.scdn.co/image/88f2a48853c1799c4cad1502ca596eee4c857119,2018-08-15 15:51:21,75,https://p.scdn.co/mp3-preview/a16785c630c91495e007a0d2917bb0684390d1cc?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/4uX8Wh4wxpLne11BhoHs5x,0.874,0.492,A,-7.399,minor,0.0604,0.299,0,0.0983,0.587,127.067,225484,4,A minor
12,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Lean Wit Me,29tc0GbW0pTSBZSCZF3NWk,Juice WRLD,Goodbye & Good Riddance,https://i.scdn.co/image/0653b51eb20f46816c1f525da6e0696a6e7262ad,2018-08-17 07:00:34,87,NA,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk,0.665,0.651,C#,-5.515,major,0.156,0.0414,0,0.0896,0.237,163.935,175755,4,C# major
13,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Taking A Walk,6ArSQdZWckNt208EzsgUM5,Trippie Redd,Taking A Walk,https://i.scdn.co/image/074b34cfe9dca4abd7bb79a874b91c13559e9c34,2018-08-15 15:51:21,80,NA,https://open.spotify.com/track/6ArSQdZWckNt208EzsgUM5,0.767,0.538,C,-6.044,minor,0.052,0.68,0,0.192,0.343,81.031,121680,4,C minor
14,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Noticed,7d6XJZjnm7iWcKwYL9z5kC,Lil Mosey,Noticed,https://i.scdn.co/image/2932203482426a4682ba6cd82b34b8ebd6fe0845,2018-08-17 07:00:34,85,NA,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC,0.699,0.558,B,-7.622,major,0.0603,0.462,0,0.116,0.493,79.992,165000,4,B major
15,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Balenciaga Challenge (feat. Offset),6Zisja44KqMZj4GM4UY6Yv,6LACK,East Atlanta Love Letter,https://i.scdn.co/image/19b263b0ecfd34efd624df40e696f2aaed6d3705,2018-09-14 04:01:00,73,NA,https://open.spotify.com/track/6Zisja44KqMZj4GM4UY6Yv,0.746,0.404,A#,-9.849,minor,0.403,0.128,2.05E-05,0.19,0.686,142.913,187217,4,A# minor
16,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,Praise The Lord (Da Shine),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,TESTING,https://i.scdn.co/image/7ab4395b77a2ef6b6f202ff0a98d8180937e924a,2018-08-15 15:51:21,90,https://p.scdn.co/mp3-preview/2cfefc8f262be77650db96a60e2f879fa436ee1d?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,0.85,0.569,F,-8.152,minor,0.136,0.0609,0.0816,0.1,0.294,80.02,205040,4,F minor
17,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks?offset=0&limit=100,50,MTUzNzI5MDY3MCwwMDAwMDJiMDAwMDAwMTY1ZWRhYTExMGYwMDAwMDE2NWQ0NzNhNjEx,https://i.scdn.co/image/64b4ef04e1a72e864e6355e11a3b0e0e524c75b9,STARGAZING,7wBJfHzpfI3032CSD7CE2m,Travis Scott,ASTROWORLD,https://i.scdn.co/image/cdca7dc20c778ada42fb18506ea1f26857f01d17,2018-08-15 15:51:21,92,https://p.scdn.co/mp3-preview/d2d23f9ea674dffde91d99783732b092655ccaf6?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m,0.487,0.789,G#,-3.69,major,0.044,0.00947,4.05E-06,0.189,0.0564,150.007,270715,4,G# major
