,playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at,track_popularity,track_preview_url,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
1,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,Triste,7z4EbJbnbvWcP9Bg15fpgC,Oscar Peterson Trio,Tristeza on Piano,https://i.scdn.co/image/18d3cfccf9a5cceaac0000400abd5ab63eec17e3,2018-09-13 13:22:23,54,https://p.scdn.co/mp3-preview/a06348428b47e18585d625d27874ad688a55b4b3?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7z4EbJbnbvWcP9Bg15fpgC,0.441,0.321,A#,-19.455,major,0.0324,0.856,0.854,0.236,0.594,89.776,321157,4,A# major
2,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,Sunshine of Your Love,1WjCGtkQQZGyTLa1kFpbGk,Ella Fitzgerald,Sunshine of Your Love,https://i.scdn.co/image/d96b97f1b00254d2ca0e2dcc655a95546d00e917,2018-09-13 13:22:23,54,https://p.scdn.co/mp3-preview/d66c295362d508fe40dbdc281c47d6c6e0edc1a0?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/1WjCGtkQQZGyTLa1kFpbGk,0.51,0.457,G#,-8.056,major,0.0466,0.163,6.27E-05,0.366,0.634,109.327,197973,4,G# major
3,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,The Shadow Of Your Smile,0sRAziWSeUedBSKjapsy9F,Dexter Gordon,A Day In Copenhagen (Jazz Club),https://i.scdn.co/image/1c8fb9404024226b3e81459c6007b1769123e065,2018-09-13 13:22:23,51,https://p.scdn.co/mp3-preview/eddf5c067c970d32bdc8c98a7c486ebcf2161b9a?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0sRAziWSeUedBSKjapsy9F,0.464,0.0358,G,-20.836,minor,0.0454,0.941,0.178,0.0836,0.187,77.57,297876,3,G minor
4,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,Monticello,0FKnknau5UBXgN2Q6vVHgC,The Monty Alexander Trio,We've Only Just Begun,https://i.scdn.co/image/f0177db20f6d676aac62352ae10f3cf07227a1a4,2018-09-13 13:22:23,51,https://p.scdn.co/mp3-preview/44ee6844143d3e3f6c48b76cac923a57b8924b92?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0FKnknau5UBXgN2Q6vVHgC,0.559,0.479,B,-18.152,minor,0.0429,0.678,0.861,0.215,0.485,99.782,232378,4,B minor
5,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,Soulful Strut,5rWLLUMytrhz5KJwNjEn5q,Horst Jankowski and his Studio Orchestra,Jankowskeynotes,https://i.scdn.co/image/c462074fe910d49f56e4d801b9862672948c2833,2018-09-13 13:22:23,49,https://p.scdn.co/mp3-preview/1dbaba339ac7672efd57190a9447184256c873de?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/5rWLLUMytrhz5KJwNjEn5q,0.641,0.645,A#,-11.351,major,0.0355,0.16,0.0444,0.0889,0.963,95.06,145467,4,A# major
6,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,It Ain't Necessarily So,2qswPLZD9CbUoSidGNyxwm,Mary Lou Williams,Gilles Peterson - Magic Peterson Sunshine,https://i.scdn.co/image/a06505635611f5a97d773a66266105f0befd2ec6,2018-09-13 13:22:23,50,https://p.scdn.co/mp3-preview/ef207587a562f441848d68f696aa50cc524eda4e?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/2qswPLZD9CbUoSidGNyxwm,0.478,0.238,E,-17.115,minor,0.0318,0.946,0.904,0.0978,0.178,126.188,280481,3,E minor
7,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,Canto De Ossanha,0UxDHSgsAPL6AXNhS7lvpB,Baden Powell,Tristeza on Guitar,https://i.scdn.co/image/ff704d162389372ebfeb1aa798dad06d4ad69572,2018-09-13 13:22:23,51,https://p.scdn.co/mp3-preview/908ba600fac37ea814468999fd7b5298d5ec4400?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0UxDHSgsAPL6AXNhS7lvpB,0.426,0.461,F#,-12.658,minor,0.0383,0.815,0.895,0.125,0.411,112.616,220244,3,F# minor
8,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,Capricorn,0IXF4yLGlUkaXUataXDin8,George Duke,Faces in Reflection,https://i.scdn.co/image/e85d85acfc9e94548f9fed8404fd0d513d364e6d,2018-09-13 13:22:23,49,https://p.scdn.co/mp3-preview/59e912c48f7fb2ee24c402863e9409131de45dca?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0IXF4yLGlUkaXUataXDin8,0.68,0.166,A,-19.703,minor,0.0534,0.486,0.822,0.211,0.428,134.23,305962,4,A minor
9,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,What Are You Doing the Rest of Your Life?,3ZnPVp4Frub6UadiiiGDD9,Rolf K�hn,Yellow + Blue,https://i.scdn.co/image/e5c147b3771d7c784ca8f5c796389423ca6e79bb,2018-09-13 13:22:23,58,https://p.scdn.co/mp3-preview/e0a5d4915e61392fbf87a086e83c759f22b6eb4e?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/3ZnPVp4Frub6UadiiiGDD9,0.49,0.114,G,-12.566,minor,0.0359,0.934,0.262,0.124,0.15,97.158,476992,4,G minor
10,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,Cloe,0cNc2tivyPqzgp13BSM7St,Joe Pass,Intercontinental,https://i.scdn.co/image/ac56277482e5b2ecf55f7b85a0c0fb202afd6127,2018-09-13 13:22:23,48,https://p.scdn.co/mp3-preview/aa3ae3a83fe4879944578c7e73b9d0f121ef0122?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0cNc2tivyPqzgp13BSM7St,0.483,0.186,G,-21.824,minor,0.0409,0.939,0.873,0.115,0.498,150.87,321952,4,G minor
11,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,All the Things You Are,3TSdkwPeUfvgLwNTF8gfC0,Oscar Peterson Trio,Another Day (Remastered Anniversary Edition),https://i.scdn.co/image/5d46540b1fd07c16d28029773390efa8ef33bd0e,2018-09-13 13:22:23,47,https://p.scdn.co/mp3-preview/4e4764b20498d16f1f0360470fe492d4726af272?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/3TSdkwPeUfvgLwNTF8gfC0,0.601,0.314,F,-16.922,minor,0.0353,0.526,0.878,0.0937,0.316,135.712,370385,4,F minor
12,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,The Lady Is a Tramp,7nGLgTFlSQf6ZtSjM9kiMS,Count Basie Orchestra,High Voltage,https://i.scdn.co/image/47b49cb5563bda66c836c44970c4bd529071fca5,2018-09-13 13:22:23,46,https://p.scdn.co/mp3-preview/acd9a0cd1646e113dde12d3ff6a65832af781d6d?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7nGLgTFlSQf6ZtSjM9kiMS,0.397,0.226,G#,-18.229,major,0.0573,0.874,0.883,0.0843,0.766,192.509,174605,4,G# major
13,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,https://api.spotify.com/v1/playlists/37i9dQZF1DXbITWG1ZJKYt/tracks?offset=0&limit=100,80,MTUzNzM0OTg4NSwwMDAwMDA1NjAwMDAwMTY1ZDMxOGNmNjEwMDAwMDE2NWFmMDljMmRm,https://i.scdn.co/image/b11bebef6fc3aab3747b22f59c19c06620dbe727,The Flute in the Blues,4XD6hKxQevRCcqKo7XeMtD,Nathan Davis,Happy Girl,https://i.scdn.co/image/9cb86f6cde0ea7878769c93405573905cd68b7f5,2018-09-13 13:22:23,45,https://p.scdn.co/mp3-preview/a7d1601fc9518fe37496eb91c603f19d1c91ec2a?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/4XD6hKxQevRCcqKo7XeMtD,0.482,0.544,E,-11.961,minor,0.0982,0.619,0.0154,0.333,0.581,131.231,293067,4,E minor
