,playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at,track_popularity,track_preview_url,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
1,Singled Out,37i9dQZF1DX8f6LHxMjnzD,https://api.spotify.com/v1/playlists/37i9dQZF1DX8f6LHxMjnzD/tracks?offset=0&limit=100,30,MTUzNzM1MDE2NCwwMDAwMDBiOTAwMDAwMTY1ZTljYzg3MDkwMDAwMDE2NWU4OWUwMjQw,https://i.scdn.co/image/354726978b97281c2c458496dfe5670757761bb2,Burn Out (feat. Dewain Whitmore),7IWTIkiWGWNQyYfOLdMrGD,Martin Garrix,Burn Out (feat. Dewain Whitmore),https://i.scdn.co/image/2fe16fb136a668cbe267583580eac0d228692c33,2018-09-17 23:10:19,74,https://p.scdn.co/mp3-preview/780e52f3d279615302d44fe723bef8c25ebfe1b1?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD,0.594,0.722,E,-5.751,minor,0.0398,0.0156,0,0.0667,0.407,127.877,200322,4,E minor
2,Singled Out,37i9dQZF1DX8f6LHxMjnzD,https://api.spotify.com/v1/playlists/37i9dQZF1DX8f6LHxMjnzD/tracks?offset=0&limit=100,30,MTUzNzM1MDE2NCwwMDAwMDBiOTAwMDAwMTY1ZTljYzg3MDkwMDAwMDE2NWU4OWUwMjQw,https://i.scdn.co/image/354726978b97281c2c458496dfe5670757761bb2,Better,4T3fNx3CgwDRRYgmFCbD4J,Khalid,Better,https://i.scdn.co/image/e5e391544580212082376a399d65f2ba0c9a63fa,2018-09-17 23:10:19,78,https://p.scdn.co/mp3-preview/8177b402d2016ff5e4cca8e5e45e214abca5b2e3?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J,0.442,0.585,C,-10.332,minor,0.0964,0.0984,0.391,0.14,0.116,97.565,229413,4,C minor
3,Singled Out,37i9dQZF1DX8f6LHxMjnzD,https://api.spotify.com/v1/playlists/37i9dQZF1DX8f6LHxMjnzD/tracks?offset=0&limit=100,30,MTUzNzM1MDE2NCwwMDAwMDBiOTAwMDAwMTY1ZTljYzg3MDkwMDAwMDE2NWU4OWUwMjQw,https://i.scdn.co/image/354726978b97281c2c458496dfe5670757761bb2,Say My Name,3MoV1UsAJmz64LHqyiRMp0,David Guetta,7,https://i.scdn.co/image/eea5b1f4f2f61ce2aca63bb53b25455d311a0c16,2018-09-17 23:10:19,68,https://p.scdn.co/mp3-preview/89e0ed2f21273e777832d67de4851c8137ee5c8d?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/3MoV1UsAJmz64LHqyiRMp0,0.703,0.66,A#,-5.119,minor,0.123,0.137,0,0.192,0.79,95.031,198947,4,A# minor
4,Singled Out,37i9dQZF1DX8f6LHxMjnzD,https://api.spotify.com/v1/playlists/37i9dQZF1DX8f6LHxMjnzD/tracks?offset=0&limit=100,30,MTUzNzM1MDE2NCwwMDAwMDBiOTAwMDAwMTY1ZTljYzg3MDkwMDAwMDE2NWU4OWUwMjQw,https://i.scdn.co/image/354726978b97281c2c458496dfe5670757761bb2,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,Gucci Mane,Wake Up in the Sky,https://i.scdn.co/image/cec9da90c10cd8c509ecf9d6761594b311272e08,2018-09-17 23:10:19,81,https://p.scdn.co/mp3-preview/43ece6da1fe67dc3a5f44ca967fec62e918ce69d?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq,0.8,0.578,E,-5.144,minor,0.0485,0.00381,0,0.359,0.367,143.01,204665,4,E minor
5,Singled Out,37i9dQZF1DX8f6LHxMjnzD,https://api.spotify.com/v1/playlists/37i9dQZF1DX8f6LHxMjnzD/tracks?offset=0&limit=100,30,MTUzNzM1MDE2NCwwMDAwMDBiOTAwMDAwMTY1ZTljYzg3MDkwMDAwMDE2NWU4OWUwMjQw,https://i.scdn.co/image/354726978b97281c2c458496dfe5670757761bb2,Mariners Apartment Complex,4UAW2gObi5o6sJla0qZpPn,Lana Del Rey,Mariners Apartment Complex,https://i.scdn.co/image/2b3c20439a39018d0c6e0dbd7d380df21fb64501,2018-09-17 23:10:19,76,NA,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn,0.528,0.284,A,-11.487,major,0.0287,0.795,0.000303,0.109,0.172,76.012,246421,4,A major
6,Singled Out,37i9dQZF1DX8f6LHxMjnzD,https://api.spotify.com/v1/playlists/37i9dQZF1DX8f6LHxMjnzD/tracks?offset=0&limit=100,30,MTUzNzM1MDE2NCwwMDAwMDBiOTAwMDAwMTY1ZTljYzg3MDkwMDAwMDE2NWU4OWUwMjQw,https://i.scdn.co/image/354726978b97281c2c458496dfe5670757761bb2,All My Life (feat. Burna Boy),2mEX6b81sYqgfmLrhLOm7l,Major Lazer,All My Life (feat. Burna Boy),https://i.scdn.co/image/c0e86100a60e56a890fbdb17c257b08516561b9a,2018-09-17 23:10:19,37,https://p.scdn.co/mp3-preview/75a6d9e4a241b870f3c2bedbbeb228482a83cbc7?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/2mEX6b81sYqgfmLrhLOm7l,0.428,0.904,F,-4.189,major,0.261,0.0404,4.1E-06,0.0754,0.834,199.869,174000,4,F major
7,Singled Out,37i9dQZF1DX8f6LHxMjnzD,https://api.spotify.com/v1/playlists/37i9dQZF1DX8f6LHxMjnzD/tracks?offset=0&limit=100,30,MTUzNzM1MDE2NCwwMDAwMDBiOTAwMDAwMTY1ZTljYzg3MDkwMDAwMDE2NWU4OWUwMjQw,https://i.scdn.co/image/354726978b97281c2c458496dfe5670757761bb2,Just Wanna Love You (feat. J. Balvin),3d0j5Tkx2Yum7FhMvJZe85,Cris Cab,Just Wanna Love You (feat. J. Balvin),https://i.scdn.co/image/8a0306aba22e4c8754dff1ba3f6d00fadded3d77,2018-09-17 23:10:19,63,https://p.scdn.co/mp3-preview/f36d7e8cd8ead9192711630944ce1397bbc30d0d?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/3d0j5Tkx2Yum7FhMvJZe85,0.687,0.766,B,-6.08,major,0.054,0.0557,0.00107,0.146,0.303,94.973,199231,4,B major
8,Singled Out,37i9dQZF1DX8f6LHxMjnzD,https://api.spotify.com/v1/playlists/37i9dQZF1DX8f6LHxMjnzD/tracks?offset=0&limit=100,30,MTUzNzM1MDE2NCwwMDAwMDBiOTAwMDAwMTY1ZTljYzg3MDkwMDAwMDE2NWU4OWUwMjQw,https://i.scdn.co/image/354726978b97281c2c458496dfe5670757761bb2,Thick And Thin,7qIICzwgm3eu1Ic3ufPGJf,LANY,TAT / IDWLYA / TTT,https://i.scdn.co/image/aa3212180ea8948455098538e6be00f8d4e7dc15,2018-09-17 23:10:19,70,NA,https://open.spotify.com/track/7qIICzwgm3eu1Ic3ufPGJf,0.686,0.564,F,-6.063,minor,0.03,0.0599,0,0.0914,0.266,99.968,212429,4,F minor
9,Singled Out,37i9dQZF1DX8f6LHxMjnzD,https://api.spotify.com/v1/playlists/37i9dQZF1DX8f6LHxMjnzD/tracks?offset=0&limit=100,30,MTUzNzM1MDE2NCwwMDAwMDBiOTAwMDAwMTY1ZTljYzg3MDkwMDAwMDE2NWU4OWUwMjQw,https://i.scdn.co/image/354726978b97281c2c458496dfe5670757761bb2,"Survive (feat. Emeli Sand�, Gucci Mane)",0ZK4SbP0mgjTlvLiSBbhsd,Don Diablo,"Survive (feat. Emeli Sand�, Gucci Mane)",https://i.scdn.co/image/122833a45aaed54cb2cc582789829a269e554c87,2018-09-17 23:10:19,67,NA,https://open.spotify.com/track/0ZK4SbP0mgjTlvLiSBbhsd,0.652,0.806,A#,-5.546,minor,0.151,0.732,1.01E-05,0.11,0.357,99.907,189515,4,A# minor
10,Singled Out,37i9dQZF1DX8f6LHxMjnzD,https://api.spotify.com/v1/playlists/37i9dQZF1DX8f6LHxMjnzD/tracks?offset=0&limit=100,30,MTUzNzM1MDE2NCwwMDAwMDBiOTAwMDAwMTY1ZTljYzg3MDkwMDAwMDE2NWU4OWUwMjQw,https://i.scdn.co/image/354726978b97281c2c458496dfe5670757761bb2,Sincerity Is Scary,06Vthiq8nNDuT5nOcch535,The 1975,Sincerity Is Scary,https://i.scdn.co/image/dbbc02c045b2fa3255870bfa6e8f9cbcb17356c0,2018-09-17 23:10:19,71,NA,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535,0.664,0.524,D,-5.178,major,0.0283,0.0495,8.18E-06,0.075,0.475,91.027,225956,4,D major
