,playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at,track_popularity,track_preview_url,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
1,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,"Sugar, We're Goin Down",2TfSHkHiFO4gRztVIkggkE,Fall Out Boy,From Under The Cork Tree,https://i.scdn.co/image/63a37f32006eab70bd58c892e4098f2a84bb915e,2018-06-19 20:57:28,77,NA,https://open.spotify.com/track/2TfSHkHiFO4gRztVIkggkE,0.499,0.824,G,-4.741,major,0.0794,0.00898,0,0.163,0.699,161.977,229093,4,G major
2,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,"You're Gonna Go Far, Kid",1FMm3wG5WOhi7js35KR7Ea,The Offspring,"Rise And Fall, Rage And Grace",https://i.scdn.co/image/fd34f98d4c8af3b2ff02771c5cdce894a21348a8,2018-06-19 20:57:28,15,NA,https://open.spotify.com/track/1FMm3wG5WOhi7js35KR7Ea,0.55,0.918,A,-3.159,minor,0.0682,0.00466,0,0.206,0.563,126.083,177827,4,A minor
3,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,I'm Not Okay (I Promise),7lRlq939cDG4SzWOF4VAnd,My Chemical Romance,Three Cheers For Sweet Revenge,https://i.scdn.co/image/9dd7cf8069b4ceea8070e8ebd71dc30f936c8dce,2018-06-19 20:57:28,71,https://p.scdn.co/mp3-preview/b5ad0ef700a456e320076c3000826d0ce050eb6e?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7lRlq939cDG4SzWOF4VAnd,0.21,0.94,A,-3.427,major,0.123,0.00602,0,0.269,0.255,179.722,186480,4,A major
4,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Misery Business,6SpLc7EXZIPpy0sVko0aoU,Paramore,RIOT!,https://i.scdn.co/image/b7bf9e682e3dca64d2396bdea7b56005f23448ed,2018-06-19 20:57:28,71,https://p.scdn.co/mp3-preview/d4aacf7e02038a401759df9a908756e4f71de0fb?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/6SpLc7EXZIPpy0sVko0aoU,0.517,0.906,C#,-3.677,major,0.0735,0.00272,9.26E-06,0.113,0.731,172.977,211520,4,C# major
5,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,I Write Sins Not Tragedies,4bPQs0PHn4xbipzdPfn6du,Panic! At The Disco,A Fever You Can't Sweat Out,https://i.scdn.co/image/76c86f33b0ffc852e4141e59d485d9c6020241e1,2018-06-19 20:57:28,74,https://p.scdn.co/mp3-preview/930966829960ca443d5fc2dae62c9cd5b9d6a395?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/4bPQs0PHn4xbipzdPfn6du,0.567,0.795,A,-4.985,minor,0.134,0.0938,0,0.114,0.635,170.06,187613,4,A minor
6,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Face Down,4wzjNqjKAKDU82e8uMhzmr,The Red Jumpsuit Apparatus,Don't You Fake It,https://i.scdn.co/image/548908d2362b623aab6082f15229c9c842aeca28,2018-06-19 20:57:28,72,NA,https://open.spotify.com/track/4wzjNqjKAKDU82e8uMhzmr,0.545,0.932,G,-2.189,minor,0.0399,0.000665,0,0.127,0.465,92.956,192000,4,G minor
7,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,"Dear Maria, Count Me In",3ZsexY07D4t4HRq7ogeSAS,All Time Low,"So Wrong, It's Right (Deluxe Version)",https://i.scdn.co/image/0daa2c0fe838c0a4354e45263860b9a70b39f3d6,2018-06-19 20:57:28,67,https://p.scdn.co/mp3-preview/aa9c38e29aa6e69f06ea955e01e15045afad6068?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/3ZsexY07D4t4HRq7ogeSAS,0.465,0.896,D,-3.126,major,0.0795,0.00725,0,0.206,0.569,181.014,182827,4,D major
8,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Basket Case,6L89mwZXSOwYl76YXfX13s,Green Day,Dookie,https://i.scdn.co/image/927a0b3a207f999eaf94aa1f9b92b8900c95e014,2018-06-19 20:57:28,79,https://p.scdn.co/mp3-preview/a66864fcfd8923c6084fc2000e3086e4e1e0a657?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/6L89mwZXSOwYl76YXfX13s,0.442,0.943,D#,-3.205,major,0.0602,0.00293,8.71E-06,0.091,0.781,85.064,181533,4,D# major
9,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,"Dance, Dance",0a7BloCiNzLDD9qSQHh5m7,Fall Out Boy,From Under The Cork Tree,https://i.scdn.co/image/63a37f32006eab70bd58c892e4098f2a84bb915e,2018-06-19 20:57:28,73,NA,https://open.spotify.com/track/0a7BloCiNzLDD9qSQHh5m7,0.616,0.961,B,-3.144,minor,0.139,0.00494,0,0.078,0.523,114.492,180267,4,B minor
10,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,The Middle,2D7tauy2bntJnJQ2C4rO4x,Jimmy Eat World,Jimmy Eat World,https://i.scdn.co/image/1640f83a0b09503e6490194c77c68a5e98a00aad,2018-06-19 20:57:28,8,NA,https://open.spotify.com/track/2D7tauy2bntJnJQ2C4rO4x,0.639,0.873,D,-5.334,major,0.054,0.0345,0,0.0783,0.92,162.151,165853,4,D major
11,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Welcome to the Black Parade,7dN52YlyGl6c9tmxdv6zMp,My Chemical Romance,The Black Parade / Living with Ghosts (The 10th Anniversary Edition),https://i.scdn.co/image/63ccb1d352727d24eb3fc4611d2d22c0a949e8a7,2018-06-19 20:57:28,60,https://p.scdn.co/mp3-preview/0c19f3a680ff92f9d38a34b3310e6ff1a661ab1e?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7dN52YlyGl6c9tmxdv6zMp,0.217,0.905,D,-4.103,major,0.0752,0.000289,0.00011,0.222,0.236,96.95,311107,4,D major
12,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Still Waiting,4rLKjYqJjLU0Odg52kGL2O,Sum 41,Does This Look Infected?,https://i.scdn.co/image/3a4bbf138ae18a7c3420e4f58387426b11fec287,2018-06-19 20:57:28,49,https://p.scdn.co/mp3-preview/8f2417e3adcc1bef9027ab9c59492f47be67cc71?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/4rLKjYqJjLU0Odg52kGL2O,0.42,0.952,G,-4.93,major,0.257,0.00115,5.72E-05,0.294,0.511,191.977,158733,4,G major
13,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Dirty Little Secret,5lDriBxJd22IhOH9zTcFrV,The All-American Rejects,Move Along,https://i.scdn.co/image/c901ac12eeb5df68ac267eef20cc045e741927f2,2018-06-19 20:57:28,68,NA,https://open.spotify.com/track/5lDriBxJd22IhOH9zTcFrV,0.453,0.942,A#,-4.256,major,0.0466,0.0004,2.65E-06,0.667,0.457,143.85,193653,4,A# major
14,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,The Anthem,0BRHnOFm6sjxN1i9LJrUDu,Good Charlotte,The Young and The Hopeless,https://i.scdn.co/image/6655d99168e1091d9ba5ea8caa740ae17db58c30,2018-06-19 20:57:28,71,https://p.scdn.co/mp3-preview/37bf3c2518b7d23df6df45e7d17a38dc313e8cae?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,C#,-3.127,major,0.126,0.00666,0,0.139,0.893,177.751,175093,4,C# major
15,Pop Punk Powerhouses,37i9dQZF1DXa9wYJr1oMFq,https://api.spotify.com/v1/playlists/37i9dQZF1DXa9wYJr1oMFq/tracks?offset=0&limit=100,50,MTUzNzM1MDE4OSwwMDAwMDAzYTAwMDAwMTY0M2JiMjY3NDEwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/be9be5313c07315609723f2e137f22e3bf7897dd,Ignorance,47No93LxERvV6MtOAmQzHS,Paramore,brand new eyes,https://i.scdn.co/image/4f0396064baeb8a83ea109cfd4239781a43555eb,2018-06-19 20:57:28,67,https://p.scdn.co/mp3-preview/472a4b28533e319d93fba97e8dc6a349488fc9e1?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/47No93LxERvV6MtOAmQzHS,0.522,0.964,B,-2.645,minor,0.095,0.00109,0.000389,0.0387,0.51,170.944,218627,4,B minor
