,playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at,track_popularity,track_preview_url,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
1,I Love My '00s R&B,37i9dQZF1DWYmmr74INQlb,https://api.spotify.com/v1/playlists/37i9dQZF1DWYmmr74INQlb/tracks?offset=0&limit=100,36,MTUzNzM1MDIwMywwMDAwMDAzODAwMDAwMTY1YTlmMzNjNTMwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/c75e25bcd27451547ade83f4a58427c857f6344f,Buy U a Drank (Shawty Snappin'),2aIdVb8v9KTpEZnftkz2mD,T-Pain,Epiphany,https://i.scdn.co/image/42a61a60d7595bf845a166b372590f5d83a0617d,2018-09-05 13:36:54,76,https://p.scdn.co/mp3-preview/0f56c023a3ce2ad0eeeaeb8bf46f8a2b61f2c272?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/2aIdVb8v9KTpEZnftkz2mD,0.451,0.55,C#,-8.137,major,0.262,0.0108,0,0.0737,0.594,80.001,227960,4,C# major
2,I Love My '00s R&B,37i9dQZF1DWYmmr74INQlb,https://api.spotify.com/v1/playlists/37i9dQZF1DWYmmr74INQlb/tracks?offset=0&limit=100,36,MTUzNzM1MDIwMywwMDAwMDAzODAwMDAwMTY1YTlmMzNjNTMwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/c75e25bcd27451547ade83f4a58427c857f6344f,U Remind Me,2QsZVnbWVSjKMXK6K3uRBL,Usher,8701,https://i.scdn.co/image/81097fadc548f0650a8b79b728326b5d6c8e18a2,2018-09-05 13:36:54,75,https://p.scdn.co/mp3-preview/b94b8fba4179746fbb1f23dd124d1aa076f50131?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/2QsZVnbWVSjKMXK6K3uRBL,0.657,0.629,F#,-4.938,major,0.0782,0.194,0,0.254,0.726,93.985,266893,4,F# major
3,I Love My '00s R&B,37i9dQZF1DWYmmr74INQlb,https://api.spotify.com/v1/playlists/37i9dQZF1DWYmmr74INQlb/tracks?offset=0&limit=100,36,MTUzNzM1MDIwMywwMDAwMDAzODAwMDAwMTY1YTlmMzNjNTMwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/c75e25bcd27451547ade83f4a58427c857f6344f,Let Me Love You,3ibKnFDaa3GhpPGlOUj7ff,Mario,Let Me Love You,https://i.scdn.co/image/4d18a07bd8d9fa9e9de5f00acbb673d313f97e8a,2018-09-05 13:36:54,77,https://p.scdn.co/mp3-preview/cf789f03af0823c236804eac219c0589da733bd3?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/3ibKnFDaa3GhpPGlOUj7ff,0.656,0.578,G,-8.97,minor,0.0922,0.235,0,0.118,0.556,94.514,256733,4,G minor
4,I Love My '00s R&B,37i9dQZF1DWYmmr74INQlb,https://api.spotify.com/v1/playlists/37i9dQZF1DWYmmr74INQlb/tracks?offset=0&limit=100,36,MTUzNzM1MDIwMywwMDAwMDAzODAwMDAwMTY1YTlmMzNjNTMwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/c75e25bcd27451547ade83f4a58427c857f6344f,We Belong Together,3LmvfNUQtglbTrydsdIqFU,Mariah Carey,The Emancipation of Mimi,https://i.scdn.co/image/dca82bd9c1ccae90b09972027a408068f7a4d700,2018-09-05 13:36:54,70,NA,https://open.spotify.com/track/3LmvfNUQtglbTrydsdIqFU,0.838,0.469,C,-7.992,major,0.0835,0.0358,0,0.0928,0.778,139.975,201400,4,C major
5,I Love My '00s R&B,37i9dQZF1DWYmmr74INQlb,https://api.spotify.com/v1/playlists/37i9dQZF1DWYmmr74INQlb/tracks?offset=0&limit=100,36,MTUzNzM1MDIwMywwMDAwMDAzODAwMDAwMTY1YTlmMzNjNTMwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/c75e25bcd27451547ade83f4a58427c857f6344f,Yo (Excuse Me Miss),1zpu1PZ8ecmcX525Z3X8cl,Chris Brown,Chris Brown,https://i.scdn.co/image/c1ef3bddda1cc04f422f54c0fae424ca7209d614,2018-09-05 13:36:54,69,https://p.scdn.co/mp3-preview/262627359dbf946d9b8f95b1f4ca551565d7b098?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/1zpu1PZ8ecmcX525Z3X8cl,0.605,0.633,C#,-5.899,minor,0.251,0.119,0,0.225,0.592,87.26,229040,4,C# minor
6,I Love My '00s R&B,37i9dQZF1DWYmmr74INQlb,https://api.spotify.com/v1/playlists/37i9dQZF1DWYmmr74INQlb/tracks?offset=0&limit=100,36,MTUzNzM1MDIwMywwMDAwMDAzODAwMDAwMTY1YTlmMzNjNTMwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/c75e25bcd27451547ade83f4a58427c857f6344f,"One, Two Step",7uKcScNXuO3MWw6LowBjW1,Ciara,Goodies,https://i.scdn.co/image/5c0f4e43e219f387384aab1c5567776307776960,2018-09-05 13:36:54,76,https://p.scdn.co/mp3-preview/ebc79c6e835bd18a744307d51c942a749e3ad2ca?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7uKcScNXuO3MWw6LowBjW1,0.944,0.511,F,-10.96,minor,0.161,0.042,0.00107,0.0379,0.842,113.046,203787,4,F minor
7,I Love My '00s R&B,37i9dQZF1DWYmmr74INQlb,https://api.spotify.com/v1/playlists/37i9dQZF1DWYmmr74INQlb/tracks?offset=0&limit=100,36,MTUzNzM1MDIwMywwMDAwMDAzODAwMDAwMTY1YTlmMzNjNTMwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/c75e25bcd27451547ade83f4a58427c857f6344f,Umbrella,49FYlytm3dAAraYgpoJZux,Rihanna,Good Girl Gone Bad: Reloaded,https://i.scdn.co/image/3efc0f573fec8acaefe7b5cdf7004d03939b0c34,2018-09-05 13:36:54,78,NA,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux,0.583,0.829,C#,-4.603,major,0.134,0.00864,0,0.0426,0.575,174.028,275987,4,C# major
8,I Love My '00s R&B,37i9dQZF1DWYmmr74INQlb,https://api.spotify.com/v1/playlists/37i9dQZF1DWYmmr74INQlb/tracks?offset=0&limit=100,36,MTUzNzM1MDIwMywwMDAwMDAzODAwMDAwMTY1YTlmMzNjNTMwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/c75e25bcd27451547ade83f4a58427c857f6344f,Bust Your Windows,56z2qI0gKcPthQF6l8AW3E,Jazmine Sullivan,Fearless,https://i.scdn.co/image/d7af0ce91ebac4e9a67189ec811e6171bb9ddf31,2018-09-05 13:36:54,67,https://p.scdn.co/mp3-preview/8375bfab00370df7f7fd6e7f86a04f187e02dff1?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/56z2qI0gKcPthQF6l8AW3E,0.683,0.664,F,-4.233,minor,0.0332,0.538,0,0.0671,0.866,106.991,266307,4,F minor
9,I Love My '00s R&B,37i9dQZF1DWYmmr74INQlb,https://api.spotify.com/v1/playlists/37i9dQZF1DWYmmr74INQlb/tracks?offset=0&limit=100,36,MTUzNzM1MDIwMywwMDAwMDAzODAwMDAwMTY1YTlmMzNjNTMwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/c75e25bcd27451547ade83f4a58427c857f6344f,I Don't Wanna Know (feat. Enya And P. Diddy),3pYcGuasNwouukvgQcgo9a,Mario Winans,Hurt No More,https://i.scdn.co/image/c3c6415b0bcec8bc64c57954a82bd786dca01495,2018-09-05 13:36:54,16,NA,https://open.spotify.com/track/3pYcGuasNwouukvgQcgo9a,0.84,0.493,B,-5.9,minor,0.0475,0.332,0.00105,0.121,0.361,96.998,257360,4,B minor
10,I Love My '00s R&B,37i9dQZF1DWYmmr74INQlb,https://api.spotify.com/v1/playlists/37i9dQZF1DWYmmr74INQlb/tracks?offset=0&limit=100,36,MTUzNzM1MDIwMywwMDAwMDAzODAwMDAwMTY1YTlmMzNjNTMwMDAwMDE2MmYyYjBlOGQ4,https://i.scdn.co/image/c75e25bcd27451547ade83f4a58427c857f6344f,"Bump, Bump, Bump",74jMwg2zsFMICzW3Wems6h,B2K,Greatest Hits,https://i.scdn.co/image/567fb374d6e891d6243d914c69acf6524957defb,2018-09-05 13:36:54,67,https://p.scdn.co/mp3-preview/847da18c768ccf4489817e684724aa0b51385689?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/74jMwg2zsFMICzW3Wems6h,0.833,0.681,C#,-6.028,minor,0.215,0.0956,0,0.0414,0.887,95.48,282533,4,C# minor
