,playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at,track_popularity,track_preview_url,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
1,Workout,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/playlists/37i9dQZF1DX70RN3TfWWJh/tracks?offset=0&limit=100,60,MTUzNzM1MDIzMywwMDAwMDBhMjAwMDAwMTY1ZDkxNDBmODkwMDAwMDE2MzUxMzQ2OWNk,https://i.scdn.co/image/7c779d6445bc7713063f4f32fca70549ae0eb1f0,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,Eastside (with Halsey & Khalid),https://i.scdn.co/image/cf7982ed224572c39f5a69016fb36d0706813f9e,2018-09-14 17:14:55,97,NA,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,F#,-7.648,minor,0.321,0.555,0,0.116,0.319,89.391,173800,4,F# minor
2,Workout,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/playlists/37i9dQZF1DX70RN3TfWWJh/tracks?offset=0&limit=100,60,MTUzNzM1MDIzMywwMDAwMDBhMjAwMDAwMTY1ZDkxNDBmODkwMDAwMDE2MzUxMzQ2OWNk,https://i.scdn.co/image/7c779d6445bc7713063f4f32fca70549ae0eb1f0,Girls Like You (feat. Cardi B),6FRLCMO5TUHTexlWo8ym1W,Maroon 5,Girls Like You (feat. Cardi B),https://i.scdn.co/image/bc4466a0b510a7d9e3c0818c680c6b294bcdc097,2018-09-14 17:14:55,94,NA,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W,0.851,0.541,C,-6.825,major,0.0505,0.568,0,0.13,0.448,124.959,235545,4,C major
3,Workout,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/playlists/37i9dQZF1DX70RN3TfWWJh/tracks?offset=0&limit=100,60,MTUzNzM1MDIzMywwMDAwMDBhMjAwMDAwMTY1ZDkxNDBmODkwMDAwMDE2MzUxMzQ2OWNk,https://i.scdn.co/image/7c779d6445bc7713063f4f32fca70549ae0eb1f0,Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,Body (feat. brando),https://i.scdn.co/image/c8efa1b49fae6f4c47cc70715174b8f748450f34,2018-09-14 17:14:55,74,https://p.scdn.co/mp3-preview/cc8dc2d90a923e024f1c71dec1cd4f0a8650a1cc?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,0.752,0.764,C#,-4.399,major,0.038,0.0476,9.44E-05,0.0543,0.582,121.958,163216,4,C# major
4,Workout,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/playlists/37i9dQZF1DX70RN3TfWWJh/tracks?offset=0&limit=100,60,MTUzNzM1MDIzMywwMDAwMDBhMjAwMDAwMTY1ZDkxNDBmODkwMDAwMDE2MzUxMzQ2OWNk,https://i.scdn.co/image/7c779d6445bc7713063f4f32fca70549ae0eb1f0,Lonely Together (feat. Rita Ora),2OALaHcDdKkjYEpAr0Qzab,Avicii,AVICI (01),https://i.scdn.co/image/89f2c9f69547a5f96268fc8d5731791b49876af6,2018-09-14 17:14:55,61,NA,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,0.655,0.666,F,-5.309,major,0.0612,0.134,2.12E-05,0.0683,0.272,102.977,181812,4,F major
5,Workout,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/playlists/37i9dQZF1DX70RN3TfWWJh/tracks?offset=0&limit=100,60,MTUzNzM1MDIzMywwMDAwMDBhMjAwMDAwMTY1ZDkxNDBmODkwMDAwMDE2MzUxMzQ2OWNk,https://i.scdn.co/image/7c779d6445bc7713063f4f32fca70549ae0eb1f0,Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,Nevermind,https://i.scdn.co/image/b3394b0177e4cfdabcd64255291a1c6cb822d8be,2018-09-14 17:14:55,91,https://p.scdn.co/mp3-preview/4065e82c0c3e882c5c803720eca1b4ce020b478c?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,0.592,0.691,D#,-8.354,major,0.196,0.156,9.78E-06,0.418,0.0796,99.976,156600,4,D# major
6,Workout,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/playlists/37i9dQZF1DX70RN3TfWWJh/tracks?offset=0&limit=100,60,MTUzNzM1MDIzMywwMDAwMDBhMjAwMDAwMTY1ZDkxNDBmODkwMDAwMDE2MzUxMzQ2OWNk,https://i.scdn.co/image/7c779d6445bc7713063f4f32fca70549ae0eb1f0,Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,Rise,https://i.scdn.co/image/24686f4ddeb3be3f291e72e5b060c2f5ec7a124a,2018-09-14 17:14:55,94,NA,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3,0.69,0.784,C#,-4.653,major,0.032,0.323,0,0.203,0.669,106.066,194408,4,C# major
7,Workout,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/playlists/37i9dQZF1DX70RN3TfWWJh/tracks?offset=0&limit=100,60,MTUzNzM1MDIzMywwMDAwMDBhMjAwMDAwMTY1ZDkxNDBmODkwMDAwMDE2MzUxMzQ2OWNk,https://i.scdn.co/image/7c779d6445bc7713063f4f32fca70549ae0eb1f0,Rumors (With Sofia Carson),1CPUilWsYY4I5nzXuTN8Gj,R3HAB,The Wave,https://i.scdn.co/image/ce911005078914ca1d4fc13b49a2e1722bda4041,2018-09-14 17:14:55,71,https://p.scdn.co/mp3-preview/4fd84df83e015e2311cb28cf843b472728b7a0c3?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/1CPUilWsYY4I5nzXuTN8Gj,0.712,0.496,F#,-6.061,major,0.124,0.44,0,0.186,0.638,141.212,138298,4,F# major
8,Workout,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/playlists/37i9dQZF1DX70RN3TfWWJh/tracks?offset=0&limit=100,60,MTUzNzM1MDIzMywwMDAwMDBhMjAwMDAwMTY1ZDkxNDBmODkwMDAwMDE2MzUxMzQ2OWNk,https://i.scdn.co/image/7c779d6445bc7713063f4f32fca70549ae0eb1f0,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,Love Lies (with Normani),https://i.scdn.co/image/ea0c58be347de0c1ea9a2c4dadae238798baf468,2018-09-14 17:14:55,88,https://p.scdn.co/mp3-preview/d53d5678b946219bd6df0b3d04ce0b3554f167d4?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,0.708,0.648,F#,-5.626,major,0.0449,0.0956,0,0.134,0.338,143.955,201707,4,F# major
9,Workout,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/playlists/37i9dQZF1DX70RN3TfWWJh/tracks?offset=0&limit=100,60,MTUzNzM1MDIzMywwMDAwMDBhMjAwMDAwMTY1ZDkxNDBmODkwMDAwMDE2MzUxMzQ2OWNk,https://i.scdn.co/image/7c779d6445bc7713063f4f32fca70549ae0eb1f0,No Brainer,5WvAo7DNuPRmk4APhdPzi8,DJ Khaled,No Brainer,https://i.scdn.co/image/dcdd963795fc7905eeeac1f1b8742b965b69c1b6,2018-09-14 17:14:55,96,https://p.scdn.co/mp3-preview/c10ec149a56d1adedd38f0d1ab660b3a3744493f?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8,0.552,0.76,C,-4.706,major,0.342,0.0733,0,0.0865,0.639,135.702,260000,5,C major
10,Workout,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/playlists/37i9dQZF1DX70RN3TfWWJh/tracks?offset=0&limit=100,60,MTUzNzM1MDIzMywwMDAwMDBhMjAwMDAwMTY1ZDkxNDBmODkwMDAwMDE2MzUxMzQ2OWNk,https://i.scdn.co/image/7c779d6445bc7713063f4f32fca70549ae0eb1f0,Born To Be Yours,0kHyKhJMukHEPfeh8s7rdM,Kygo,Born To Be Yours,https://i.scdn.co/image/257b1dee9f7d1c6f41bfa567348f8444535feac6,2018-09-14 17:14:55,88,https://p.scdn.co/mp3-preview/0d49383d9825628ff03ea46e0d5b15d0e8d8e1cb?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM,0.688,0.688,D#,-5.84,major,0.0357,0.3,0,0.0982,0.451,114.011,193321,4,D# major
