"","track_title","lyric","line","track_uri"
"1","You","You are",1,"1MyqLTRhgyWPw7v107BEuI"
"2","You","The sun and moon",2,"1MyqLTRhgyWPw7v107BEuI"
"3","You","And stars are you",3,"1MyqLTRhgyWPw7v107BEuI"
"4","You","And I could never run away",4,"1MyqLTRhgyWPw7v107BEuI"
"5","You","From you",5,"1MyqLTRhgyWPw7v107BEuI"
"6","You","You try",6,"1MyqLTRhgyWPw7v107BEuI"
"7","You","At working out chaotic things",7,"1MyqLTRhgyWPw7v107BEuI"
"8","You","And why",8,"1MyqLTRhgyWPw7v107BEuI"
"9","You","Should I believe myself, not you?",9,"1MyqLTRhgyWPw7v107BEuI"
"10","You","It's like",10,"1MyqLTRhgyWPw7v107BEuI"
"11","You","The world is going to end so soon",11,"1MyqLTRhgyWPw7v107BEuI"
"12","You","And why",12,"1MyqLTRhgyWPw7v107BEuI"
"13","You","Should I believe myself?",13,"1MyqLTRhgyWPw7v107BEuI"
"14","You","Ahhhh!",14,"1MyqLTRhgyWPw7v107BEuI"
"15","You","You, me and everything",15,"1MyqLTRhgyWPw7v107BEuI"
"16","You","Caught in the fire",16,"1MyqLTRhgyWPw7v107BEuI"
"17","You","I can see me drowning",17,"1MyqLTRhgyWPw7v107BEuI"
"18","You","Caught in the fire",18,"1MyqLTRhgyWPw7v107BEuI"
"19","You","You, me and everything",19,"1MyqLTRhgyWPw7v107BEuI"
"20","You","Caught in the fire",20,"1MyqLTRhgyWPw7v107BEuI"
"21","You","I can see me drowning",21,"1MyqLTRhgyWPw7v107BEuI"
"22","You","Caught in the fire",22,"1MyqLTRhgyWPw7v107BEuI"
"23","Creep","When you were here before",1,"6b2oQwSGFkzsMtQruIWm2p"
"24","Creep","Couldn't look you in the eye",2,"6b2oQwSGFkzsMtQruIWm2p"
"25","Creep","You're just like an angel",3,"6b2oQwSGFkzsMtQruIWm2p"
"26","Creep","Your skin makes me cry",4,"6b2oQwSGFkzsMtQruIWm2p"
"27","Creep","You float like a feather",5,"6b2oQwSGFkzsMtQruIWm2p"
"28","Creep","In a beautiful world",6,"6b2oQwSGFkzsMtQruIWm2p"
"29","Creep","I wish I was special",7,"6b2oQwSGFkzsMtQruIWm2p"
"30","Creep","You're so fucking special",8,"6b2oQwSGFkzsMtQruIWm2p"
"31","Creep","But I'm a creep",9,"6b2oQwSGFkzsMtQruIWm2p"
"32","Creep","I'm a weirdo",10,"6b2oQwSGFkzsMtQruIWm2p"
"33","Creep","What the hell am I doing here?",11,"6b2oQwSGFkzsMtQruIWm2p"
"34","Creep","I don't belong here",12,"6b2oQwSGFkzsMtQruIWm2p"
"35","Creep","I don't care if it hurts",13,"6b2oQwSGFkzsMtQruIWm2p"
"36","Creep","I want to have control",14,"6b2oQwSGFkzsMtQruIWm2p"
"37","Creep","I want a perfect body",15,"6b2oQwSGFkzsMtQruIWm2p"
"38","Creep","I want a perfect soul",16,"6b2oQwSGFkzsMtQruIWm2p"
"39","Creep","I want you to notice",17,"6b2oQwSGFkzsMtQruIWm2p"
"40","Creep","When I'm not around",18,"6b2oQwSGFkzsMtQruIWm2p"
"41","Creep","You're so fuckin' special",19,"6b2oQwSGFkzsMtQruIWm2p"
"42","Creep","I wish I was special",20,"6b2oQwSGFkzsMtQruIWm2p"
"43","Creep","But I'm a creep",21,"6b2oQwSGFkzsMtQruIWm2p"
"44","Creep","I'm a weirdo",22,"6b2oQwSGFkzsMtQruIWm2p"
"45","Creep","What the hell am I doing here?",23,"6b2oQwSGFkzsMtQruIWm2p"
"46","Creep","I don't belong here",24,"6b2oQwSGFkzsMtQruIWm2p"
"47","Creep","She's running out the door",25,"6b2oQwSGFkzsMtQruIWm2p"
"48","Creep","She's running out",26,"6b2oQwSGFkzsMtQruIWm2p"
"49","Creep","She run, run, run, run",27,"6b2oQwSGFkzsMtQruIWm2p"
"50","Creep","Run",28,"6b2oQwSGFkzsMtQruIWm2p"
"51","Creep","Whatever makes you happy",29,"6b2oQwSGFkzsMtQruIWm2p"
"52","Creep","Whatever you want",30,"6b2oQwSGFkzsMtQruIWm2p"
"53","Creep","You're so fuckin' special",31,"6b2oQwSGFkzsMtQruIWm2p"
"54","Creep","I wish I was special",32,"6b2oQwSGFkzsMtQruIWm2p"
"55","Creep","But I'm a creep",33,"6b2oQwSGFkzsMtQruIWm2p"
"56","Creep","I'm a weirdo",34,"6b2oQwSGFkzsMtQruIWm2p"
"57","Creep","What the hell am I doing here?",35,"6b2oQwSGFkzsMtQruIWm2p"
"58","Creep","I don't belong here",36,"6b2oQwSGFkzsMtQruIWm2p"
"59","Creep","I don't belong here",37,"6b2oQwSGFkzsMtQruIWm2p"
"60","How Do You?","He's bitter and twisted",1,"71wIOoaoVMUwskK5yCXZL4"
"61","How Do You?","He knows what he wants",2,"71wIOoaoVMUwskK5yCXZL4"
"62","How Do You?","He wants to be loved and he wants to belong",3,"71wIOoaoVMUwskK5yCXZL4"
"63","How Do You?","He wants us to listen, he wants us to weep",4,"71wIOoaoVMUwskK5yCXZL4"
"64","How Do You?","And he was a stupid baby who turned into a powerful freak",5,"71wIOoaoVMUwskK5yCXZL4"
