"album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","artist_name"
"1","4QSIeDnAnGag2YZ5DjB2eB","The Eraser","https://i.scdn.co/image/b671d2838dcf4750c680546206ad0fd6d28a8b20","2006-07-10",2006-07-10,47,"The Eraser","0WxzsZHbXcny0WhexO2MCa",0.629,0.583,"E",-11.235,"minor",0.0445,0.881,0.499,0.104,0.261,119.078,295867,4,"E minor",45,"Thom Yorke"
"2","4QSIeDnAnGag2YZ5DjB2eB","The Eraser","https://i.scdn.co/image/b671d2838dcf4750c680546206ad0fd6d28a8b20","2006-07-10",2006-07-10,47,"Analyse","5fOOQFVHQb1M58iSYebKeW",0.56,0.841,"C#",-8.394,"major",0.0334,0.107,0.0144,0.14,0.42,100.007,242787,4,"C# major",43,"Thom Yorke"
"3","4QSIeDnAnGag2YZ5DjB2eB","The Eraser","https://i.scdn.co/image/b671d2838dcf4750c680546206ad0fd6d28a8b20","2006-07-10",2006-07-10,47,"The Clock","7aMFgxGAKBCrYdyrY6SMek",0.572,0.68,"E",-9.927,"major",0.0354,0.203,0.498,0.137,0.723,134.074,253373,4,"E major",40,"Thom Yorke"
"4","4QSIeDnAnGag2YZ5DjB2eB","The Eraser","https://i.scdn.co/image/b671d2838dcf4750c680546206ad0fd6d28a8b20","2006-07-10",2006-07-10,47,"Black Swan","4VbV8Zyjuu1qz0QteX1wVC",0.613,0.791,"C",-7.293,"major",0.0336,0.0469,0.708,0.128,0.509,101.066,289827,4,"C major",49,"Thom Yorke"
"5","4QSIeDnAnGag2YZ5DjB2eB","The Eraser","https://i.scdn.co/image/b671d2838dcf4750c680546206ad0fd6d28a8b20","2006-07-10",2006-07-10,47,"Skip Divided","15crUni1hZCKTlJbeWwe6s",0.711,0.488,"A",-12.219,"major",0.0848,0.771,0.419,0.0697,0.49,136.988,215813,4,"A major",39,"Thom Yorke"
"6","4QSIeDnAnGag2YZ5DjB2eB","The Eraser","https://i.scdn.co/image/b671d2838dcf4750c680546206ad0fd6d28a8b20","2006-07-10",2006-07-10,47,"Atoms For Peace","7MklIl0YqJ5CVqi7zxCcf6",0.643,0.415,"C#",-15.918,"major",0.038,0.434,0.903,0.111,0.237,134.972,313613,3,"C# major",41,"Thom Yorke"
"7","4QSIeDnAnGag2YZ5DjB2eB","The Eraser","https://i.scdn.co/image/b671d2838dcf4750c680546206ad0fd6d28a8b20","2006-07-10",2006-07-10,47,"And It Rained All Night","0jXGA2HfX89Ofgm0F5vVjI",0.306,0.914,"C#",-7.083,"minor",0.122,0.0104,0.217,0.316,0.34,133.318,255933,4,"C# minor",38,"Thom Yorke"
"8","4QSIeDnAnGag2YZ5DjB2eB","The Eraser","https://i.scdn.co/image/b671d2838dcf4750c680546206ad0fd6d28a8b20","2006-07-10",2006-07-10,47,"Harrowdown Hill","2C3xIudHEjCIS5KT4JuM0b",0.705,0.668,"B",-8.426,"minor",0.0441,0.194,0.251,0.0984,0.217,125.553,278640,4,"B minor",43,"Thom Yorke"
"9","4QSIeDnAnGag2YZ5DjB2eB","The Eraser","https://i.scdn.co/image/b671d2838dcf4750c680546206ad0fd6d28a8b20","2006-07-10",2006-07-10,47,"Cymbal Rush","4LhwAjaeL8IOmFta5Yxplt",0.594,0.371,"C#",-16.191,"major",0.0403,0.52,0.908,0.108,0.279,142.028,314547,4,"C# major",38,"Thom Yorke"
"10","0K78rF0ziljfWqb1BtXyFB","The Eraser Rmxs","https://i.scdn.co/image/8fa0eb1c627ce67ebe1e3e82c019791ff4bfdb2f","2008",2008-01-01,32,"And It Rained All Night (Burial Remix)","70jx2rO4bbtUqlgGu96Q3X",0.688,0.959,"G",-7.056,"major",0.376,0.464,0.154,0.107,0.676,140.281,253200,4,"G major",29,"Thom Yorke"
"11","0K78rF0ziljfWqb1BtXyFB","The Eraser Rmxs","https://i.scdn.co/image/8fa0eb1c627ce67ebe1e3e82c019791ff4bfdb2f","2008",2008-01-01,32,"The Clock (Surgeon Remix)","4l13TkLaLQtYOTFGG2YxY8",0.718,0.942,"G",-4.65,"major",0.142,0.012,0.641,0.109,0.286,133.977,383800,4,"G major",27,"Thom Yorke"
"12","0K78rF0ziljfWqb1BtXyFB","The Eraser Rmxs","https://i.scdn.co/image/8fa0eb1c627ce67ebe1e3e82c019791ff4bfdb2f","2008",2008-01-01,32,"Harrowdown Hill (The Bug Remix)","2jvBbSXn5aeA9rNwEtcPYA",0.534,0.958,"F#",-5.932,"minor",0.0644,0.00471,0.0232,0.155,0.141,143.999,315840,4,"F# minor",27,"Thom Yorke"
"13","0K78rF0ziljfWqb1BtXyFB","The Eraser Rmxs","https://i.scdn.co/image/8fa0eb1c627ce67ebe1e3e82c019791ff4bfdb2f","2008",2008-01-01,32,"Skip Divided (Modeselektor Remix)","0Aphl3uGYo7PCoVSGZjnAP",0.688,0.826,"B",-7.603,"major",0.0439,0.42,0.28,0.084,0.541,132.008,338293,4,"B major",29,"Thom Yorke"
"14","0K78rF0ziljfWqb1BtXyFB","The Eraser Rmxs","https://i.scdn.co/image/8fa0eb1c627ce67ebe1e3e82c019791ff4bfdb2f","2008",2008-01-01,32,"Atoms For Peace (Four Tet Remix)","2rxBZkJX2MXrsFEJrSWi27",0.622,0.629,"C#",-10.661,"major",0.032,0.294,0.85,0.114,0.73,134.944,352267,4,"C# major",30,"Thom Yorke"
"15","0K78rF0ziljfWqb1BtXyFB","The Eraser Rmxs","https://i.scdn.co/image/8fa0eb1c627ce67ebe1e3e82c019791ff4bfdb2f","2008",2008-01-01,32,"Cymbal Rush (The Field Late Night Essen Und Trinken Remix)","1pTo3vsa6ERI8OXN6ezA5b",0.66,0.488,"A#",-16.641,"minor",0.0785,0.172,0.879,0.109,0.0317,120.023,486000,4,"A# minor",28,"Thom Yorke"
"16","0K78rF0ziljfWqb1BtXyFB","The Eraser Rmxs","https://i.scdn.co/image/8fa0eb1c627ce67ebe1e3e82c019791ff4bfdb2f","2008",2008-01-01,32,"Black Swan (Cristian Vogel Spare Parts Remix)","3H4exceNzDQZd5gi0hS70f",0.655,0.939,"D",-8.744,"major",0.0667,0.0114,0.651,0.115,0.471,101.027,362000,4,"D major",26,"Thom Yorke"
"17","0K78rF0ziljfWqb1BtXyFB","The Eraser Rmxs","https://i.scdn.co/image/8fa0eb1c627ce67ebe1e3e82c019791ff4bfdb2f","2008",2008-01-01,32,"Analyse (Various Remix)","5kvkww23niURT9M1F9sjGs",0.726,0.706,"C",-7.402,"major",0.0361,0.0222,0.174,0.19,0.589,140.021,250173,4,"C major",24,"Thom Yorke"
"18","0K78rF0ziljfWqb1BtXyFB","The Eraser Rmxs","https://i.scdn.co/image/8fa0eb1c627ce67ebe1e3e82c019791ff4bfdb2f","2008",2008-01-01,32,"Black Swan (Vogel Bonus Beat Eraser Remix)","6Ee6U8v7H7REp4l0AsW7tL",0.855,0.705,"A#",-9.887,"minor",0.0667,0.369,0.882,0.143,0.534,120.014,469533,4,"A# minor",24,"Thom Yorke"
"19","3FGqqmmClj3E1mzyaNpU6k","Tomorrows Modern Boxes","https://i.scdn.co/image/e82aa1b904aebd3adb0a1d04097c1647b1a2da4b","2014",2014-01-01,44,"A Brain in a Bottle","0ztEZNjeZQ45nMcsqYxxyc",0.787,0.558,"C#",-12.365,"major",0.102,0.373,0.766,0.112,0.431,117.991,280440,4,"C# major",45,"Thom Yorke"
"20","3FGqqmmClj3E1mzyaNpU6k","Tomorrows Modern Boxes","https://i.scdn.co/image/e82aa1b904aebd3adb0a1d04097c1647b1a2da4b","2014",2014-01-01,44,"Guess Again!","0jnMk9aujJ6knGxFyZBbcx",0.725,0.409,"C#",-12.842,"minor",0.0534,0.892,0.856,0.0971,0.118,123.025,263640,4,"C# minor",41,"Thom Yorke"
"21","3FGqqmmClj3E1mzyaNpU6k","Tomorrows Modern Boxes","https://i.scdn.co/image/e82aa1b904aebd3adb0a1d04097c1647b1a2da4b","2014",2014-01-01,44,"Interference","2R5o3CKGdTsycMykcUTfns",0.349,0.0917,"E",-17.719,"minor",0.0323,0.904,0.514,0.111,0.0384,103.192,168628,3,"E minor",38,"Thom Yorke"
"22","3FGqqmmClj3E1mzyaNpU6k","Tomorrows Modern Boxes","https://i.scdn.co/image/e82aa1b904aebd3adb0a1d04097c1647b1a2da4b","2014",2014-01-01,44,"The Mother Lode","27SIyhcBaxRrgG3TmIFYG8",0.589,0.587,"F#",-14.527,"minor",0.308,0.716,0.845,0.1,0.568,149.024,366970,4,"F# minor",42,"Thom Yorke"
"23","3FGqqmmClj3E1mzyaNpU6k","Tomorrows Modern Boxes","https://i.scdn.co/image/e82aa1b904aebd3adb0a1d04097c1647b1a2da4b","2014",2014-01-01,44,"Truth Ray","3wa4j6Ebhd1sjlnDyvd0CH",0.311,0.185,"A#",-18.396,"minor",0.157,0.945,0.647,0.111,0.152,138.266,313730,4,"A# minor",39,"Thom Yorke"
"24","3FGqqmmClj3E1mzyaNpU6k","Tomorrows Modern Boxes","https://i.scdn.co/image/e82aa1b904aebd3adb0a1d04097c1647b1a2da4b","2014",2014-01-01,44,"There Is No Ice (For My Drink)","6axv9gKBbjnXtfHaj2toHm",0.641,0.496,"F#",-13.298,"minor",0.0751,0.337,0.908,0.102,0.396,124.688,420005,4,"F# minor",36,"Thom Yorke"
"25","3FGqqmmClj3E1mzyaNpU6k","Tomorrows Modern Boxes","https://i.scdn.co/image/e82aa1b904aebd3adb0a1d04097c1647b1a2da4b","2014",2014-01-01,44,"Pink Section","3mZKZA8kDYdTnFk7918fRQ",0.153,0.322,"G",-20.454,"major",0.0434,0.993,0.93,0.122,0.148,79.672,154894,3,"G major",35,"Thom Yorke"
"26","3FGqqmmClj3E1mzyaNpU6k","Tomorrows Modern Boxes","https://i.scdn.co/image/e82aa1b904aebd3adb0a1d04097c1647b1a2da4b","2014",2014-01-01,44,"Nose Grows Some","0MgBSd3GVQQyK4ihtXO6LZ",0.517,0.636,"B",-13.75,"minor",0.0453,0.0284,0.828,0.405,0.878,102.008,322512,4,"B minor",38,"Thom Yorke"
"1","2AAx5D9aJnP6XK859Q1Pyl","Leisure","https://i.scdn.co/image/520d3385f36843b4710298fe087a8e4544f8fcbc","1991-08-26",1991-08-26,37,"She's So High - 2012 Remastered Version","7lLtUEHB8WbrlwFrot8zG5",0.459,0.859,"G",-6.983,"major",0.0271,0.00078,0.000342,0.226,0.672,94.505,286173,4,"G major",39,"Blur"
"2","2AAx5D9aJnP6XK859Q1Pyl","Leisure","https://i.scdn.co/image/520d3385f36843b4710298fe087a8e4544f8fcbc","1991-08-26",1991-08-26,37,"Bang - 2012 Remastered Version","23GmhawGcs2Ab7oNdUihr9",0.585,0.91,"E",-6.96,"major",0.0525,0.0458,4.81e-05,0.133,0.542,114.004,217253,4,"E major",30,"Blur"
"3","2AAx5D9aJnP6XK859Q1Pyl","Leisure","https://i.scdn.co/image/520d3385f36843b4710298fe087a8e4544f8fcbc","1991-08-26",1991-08-26,37,"Slow Down - 2012 Remastered Version","3sfpsiuWVMJj52td3YR6ja",0.167,0.855,"C",-6.368,"major",0.0483,0.000204,2.17e-05,0.122,0.542,87.404,191107,4,"C major",27,"Blur"
"4","2AAx5D9aJnP6XK859Q1Pyl","Leisure","https://i.scdn.co/image/520d3385f36843b4710298fe087a8e4544f8fcbc","1991-08-26",1991-08-26,37,"Repetition - 2012 Remastered Version","0cBrgq8d7LtoIuHNWr2JT6",0.518,0.755,"D",-6.905,"major",0.0273,0.000197,3.55e-05,0.0945,0.5,77.062,325693,4,"D major",27,"Blur"
"5","2AAx5D9aJnP6XK859Q1Pyl","Leisure","https://i.scdn.co/image/520d3385f36843b4710298fe087a8e4544f8fcbc","1991-08-26",1991-08-26,37,"Bad Day - 2012 Remastered Version","0hsFimkuZMppuQGORIucJY",0.4,0.924,"G",-6.617,"major",0.041,0.000145,1.15e-05,0.058,0.606,105.177,264467,4,"G major",27,"Blur"
"6","2AAx5D9aJnP6XK859Q1Pyl","Leisure","https://i.scdn.co/image/520d3385f36843b4710298fe087a8e4544f8fcbc","1991-08-26",1991-08-26,37,"Sing - 2012 Remastered Version","5hsT7bcfNJZ4JgxQ75zXRo",0.375,0.658,"A",-7.601,"minor",0.0331,0.0232,0.802,0.0958,0.506,148.051,360973,4,"A minor",30,"Blur"
"7","2AAx5D9aJnP6XK859Q1Pyl","Leisure","https://i.scdn.co/image/520d3385f36843b4710298fe087a8e4544f8fcbc","1991-08-26",1991-08-26,37,"There's No Other Way - 2012 Remastered Version","2Ly3gfkiVkbrtkWyhg5n2s",0.575,0.937,"D",-5.858,"major",0.0496,0.0563,1.06e-05,0.178,0.634,112.045,204867,4,"D major",36,"Blur"
